# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
200,3,759,158,80.6
400,6,1508,297,86.2
600,6,2301,445.5,83.4
800,0,69,597.5,86.2
1000,6,3623,735,86.8
1200,6,4552,891.5,88
1400,7,5316,1027,88.6
1600,6,5767,1182.5,86.4
1800,7,6734,1353.5,86.6
2000,7,7687,1588.5,87.6
2200,5,9211,1841,90.2
2400,6,9873,1941.5,90.8
2600,5,11242,2344,91.8
2800,0,10264,2167,92.6
3000,11,12601,2660.5,92.6
3200,6,13340,2792.5,110.4
3400,6,14581,2912,93.6
3600,6,15412,3181,94.2
3800,6,15953,3487.5,93.8
4000,5,17336,3750,95.8
4200,6,19837,4362.5,98.6
4400,6,21318,4489,96.4
4600,5,21974,4414.5,95
4800,6,21692,4743,99
5000,5,24463,5409,114.6
5200,6,27848,6047,109.6
5400,5,27117,6118.5,109.4
5600,6,29864,6299.5,109.8
5800,6,30073,6925.5,125.6
6000,6,31089,7306.5,125.6
6200,5,34183,7502,127.2
6400,7,36079,8123,138.6
6600,6,38167,8339,127.2
6800,6,38732,8678,126.4
7000,5,40171,9054,132.8
7200,6,39984,9715.5,126.2
7400,5,49674,11406,131
7600,6,44582,9807,248.2
7800,6,43881,7600.5,121.6
8000,6,43270,9508,122.8
8200,5,42443,10123,129
8400,6,47140,9709.5,130.2
8600,5,47098,11598,157.4
8800,7,48339,10874,132.2
9000,7,49155,12263,132.6
9200,0,48408,11936.5,136.6
9400,7,52561,11770,139.2
9600,5,54691,11864,142.6
9800,6,54251,11670.5,126.8
10000,6,52881,11670.5,131.8
10200,5,51017,12273.5,137.4
10400,7,55143,12368.5,137.6
10600,6,57105,12262,126.6
10800,0,53930,12521,124.6
11000,5,55991,12906,134.4
11200,0,55966,12989.5,136.6
11400,6,58920,13568.5,139
11600,0,55446,13820,141.2
11800,6,63310,13794.5,133.2
12000,7,63785,15992,154
12200,6,71843,15850,147.8
12400,6,67334,14784.5,136.8
12600,6,66576,14304.5,128.2
12800,6,63816,14411.5,129.4
13000,6,66276,15151.5,136.6
13200,7,68082,15465,141.4
13400,7,71902,15736.5,147.6
13600,6,73049,16693,154.4
13800,6,75706,17089,151.8
14000,8,80161,18210.5,164.2
14200,6,79423,17654.5,157
14400,0,76810,17847.5,155.6
14600,6,80933,18214.5,159.4
14800,7,81568,18200.5,158.4
15000,5,82330,18277,151
15200,5,83087,19109,160.4
15400,7,87715,19151.5,157.2
15600,6,86864,19189,165
15800,7,88542,19772.5,161.2
16000,6,90106,19864,162.4
16200,6,91560,20037,163.8
16400,6,91565,19900.5,166.6
16600,6,89903,19981.5,160.4
16800,5,92375,20808.5,163.6
17000,7,95034,20969,164.2
17200,7,95328,21125,161
17400,6,89985,21142,164.8
17600,6,96795,21586,164.4
17800,6,97475,22047.5,170.4
18000,7,98378,21561,154.4
18200,0,95588,22279.5,166.2
18400,6,104050,22733,159
18600,6,101628,22366,223.2
18800,6,104883,22998,169.6
19000,7,104665,22488.5,154
19200,7,103170,23103,163.8
19400,6,105587,23112.5,158.4
19600,8,104526,23385.5,155.4
19800,7,109658,25454,172.8
20000,7,106607,23702,157.8
20200,7,105775,24062,158.6
